trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
37,False,"{'a': 0.5, 'e': 0.9323273456060345}",25,0,-124.547313640856,"{0: 13, 1: 3, 2: 7, 3: 1, 4: 1}",0
38,False,"{'a': 0.5, 'e': 0.9286646355765102}",35,0,-137.17828842073303,"{0: 22, 1: 1, 2: 11, 3: 0, 4: 1}",0
39,False,"{'a': 0.5, 'e': 0.9249090598573131}",30,22,-10.966585835597417,"{0: 6, 1: 0, 2: 2, 3: 0, 4: 0}",1
40,False,"{'a': 0.5, 'e': 0.9210609940028851}",25,0,-149.79394359362098,"{0: 16, 1: 1, 2: 5, 3: 0, 4: 3}",0
41,False,"{'a': 0.5, 'e': 0.9171208228166051}",25,2,-50.5087764029594,"{0: 15, 1: 5, 2: 2, 3: 1, 4: 0}",1
42,False,"{'a': 0.5, 'e': 0.9130889403123083}",25,0,-100.78943485982848,"{0: 15, 1: 1, 2: 7, 3: 2, 4: 0}",0
43,False,"{'a': 0.5, 'e': 0.9089657496748851}",25,0,-105.31226611369658,"{0: 16, 1: 2, 2: 5, 3: 1, 4: 1}",0
44,False,"{'a': 0.5, 'e': 0.9047516632199634}",25,15,-16.382356281098737,"{0: 7, 1: 0, 2: 3, 3: 0, 4: 0}",1
45,False,"{'a': 0.5, 'e': 0.9004471023526769}",20,0,-76.94957491882299,"{0: 12, 1: 0, 2: 7, 3: 1, 4: 0}",0
46,False,"{'a': 0.5, 'e': 0.8960524975255252}",20,0,-91.9641219560874,"{0: 14, 1: 1, 2: 3, 3: 0, 4: 2}",0
47,False,"{'a': 0.5, 'e': 0.891568288195329}",30,0,-109.53840882949308,"{0: 19, 1: 3, 2: 6, 3: 1, 4: 1}",0
48,False,"{'a': 0.5, 'e': 0.8869949227792842}",20,0,-41.243135216197174,"{0: 14, 1: 2, 2: 3, 3: 1, 4: 0}",0
49,False,"{'a': 0.5, 'e': 0.8823328586101215}",25,0,-193.44422796131374,"{0: 13, 1: 2, 2: 6, 3: 1, 4: 3}",0
50,False,"{'a': 0.5, 'e': 0.8775825618903728}",20,0,-39.272995705958,"{0: 14, 1: 2, 2: 3, 3: 1, 4: 0}",0
51,False,"{'a': 0.5, 'e': 0.8727445076457513}",20,0,-115.37469009215941,"{0: 14, 1: 0, 2: 3, 3: 1, 4: 2}",0
52,False,"{'a': 0.5, 'e': 0.8678191796776499}",20,0,-138.452795524021,"{0: 11, 1: 2, 2: 4, 3: 1, 4: 2}",0
53,False,"{'a': 0.5, 'e': 0.862807070514761}",30,0,-212.41242925268511,"{0: 17, 1: 5, 2: 3, 3: 1, 4: 4}",0
54,False,"{'a': 0.5, 'e': 0.8577086813638242}",25,0,-115.11141499281347,"{0: 16, 1: 3, 2: 4, 3: 0, 4: 2}",0
55,False,"{'a': 0.5, 'e': 0.8525245220595057}",30,0,-143.57649178763788,"{0: 19, 1: 4, 2: 4, 3: 1, 4: 2}",0
56,False,"{'a': 0.5, 'e': 0.8472551110134161}",20,0,-172.60697787743413,"{0: 10, 1: 1, 2: 6, 3: 0, 4: 3}",0
57,False,"{'a': 0.5, 'e': 0.8419009751622687}",25,10,-47.46366384731438,"{0: 8, 1: 2, 2: 5, 3: 0, 4: 0}",1
58,False,"{'a': 0.5, 'e': 0.8364626499151869}",25,0,-143.54415318961497,"{0: 14, 1: 2, 2: 5, 3: 3, 4: 1}",0
59,False,"{'a': 0.5, 'e': 0.8309406791001636}",25,0,-124.47890675446331,"{0: 16, 1: 0, 2: 6, 3: 2, 4: 1}",0
60,False,"{'a': 0.5, 'e': 0.8253356149096783}",25,0,-57.94668569218847,"{0: 19, 1: 1, 2: 4, 3: 0, 4: 1}",0
61,False,"{'a': 0.5, 'e': 0.8196480178454795}",25,0,-83.51128523774388,"{0: 15, 1: 1, 2: 8, 3: 1, 4: 0}",0
62,False,"{'a': 0.5, 'e': 0.8138784566625339}",20,5,-33.403408592841664,"{0: 10, 1: 1, 2: 4, 3: 0, 4: 0}",1
63,False,"{'a': 0.5, 'e': 0.8080275083121519}",30,0,-127.95342787032641,"{0: 22, 1: 2, 2: 1, 3: 3, 4: 2}",0
64,False,"{'a': 0.5, 'e': 0.8020957578842927}",25,0,-139.56352764257574,"{0: 17, 1: 2, 2: 1, 3: 3, 4: 2}",0
65,False,"{'a': 0.5, 'e': 0.7960837985490558}",25,0,-104.74365192837104,"{0: 15, 1: 1, 2: 8, 3: 0, 4: 1}",0
66,False,"{'a': 0.5, 'e': 0.7899922314973651}",35,0,-107.24636611970148,"{0: 25, 1: 0, 2: 8, 3: 1, 4: 1}",0
67,False,"{'a': 0.5, 'e': 0.7838216658808492}",30,0,-29.001177451970456,"{0: 23, 1: 4, 2: 2, 3: 1, 4: 0}",0
68,False,"{'a': 0.5, 'e': 0.7775727187509279}",35,7,-98.25479533535851,"{0: 21, 1: 1, 2: 4, 3: 0, 4: 2}",1
69,False,"{'a': 0.5, 'e': 0.7712460149971065}",20,15,10.037541509768097,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 0}",1
70,False,"{'a': 0.5, 'e': 0.7648421872844884}",25,0,-84.94940263639197,"{0: 16, 1: 3, 2: 5, 3: 0, 4: 1}",0
71,False,"{'a': 0.5, 'e': 0.7583618759905082}",20,0,-65.23582289521026,"{0: 12, 1: 2, 2: 5, 3: 1, 4: 0}",0
72,False,"{'a': 0.5, 'e': 0.7518057291408949}",25,0,-151.78528085419686,"{0: 16, 1: 1, 2: 5, 3: 0, 4: 3}",0
73,False,"{'a': 0.5, 'e': 0.7451744023448704}",25,11,-56.148459132914404,"{0: 10, 1: 1, 2: 1, 3: 1, 4: 1}",1
74,False,"{'a': 0.5, 'e': 0.7384685587295879}",20,0,-64.96483407085417,"{0: 13, 1: 4, 2: 2, 3: 0, 4: 1}",0
75,False,"{'a': 0.5, 'e': 0.7316888688738209}",20,0,17.013497288508045,"{0: 18, 1: 2, 2: 0, 3: 0, 4: 0}",0
76,False,"{'a': 0.5, 'e': 0.7248360107409052}",20,0,-54.42717144710366,"{0: 14, 1: 2, 2: 2, 3: 2, 4: 0}",0
77,False,"{'a': 0.5, 'e': 0.7179106696109434}",20,1,-31.909869099591056,"{0: 13, 1: 2, 2: 4, 3: 0, 4: 0}",1
78,False,"{'a': 0.5, 'e': 0.7109135380122773}",25,6,-89.36532575838656,"{0: 13, 1: 0, 2: 3, 3: 2, 4: 1}",1
79,False,"{'a': 0.5, 'e': 0.7038453156522361}",30,18,-5.582300646183132,"{0: 9, 1: 1, 2: 2, 3: 0, 4: 0}",1
80,False,"{'a': 0.5, 'e': 0.6967067093471654}",20,0,-70.15609896444533,"{0: 14, 1: 0, 2: 5, 3: 0, 4: 1}",0
81,False,"{'a': 0.5, 'e': 0.689498432951747}",20,6,-34.22221770237956,"{0: 9, 1: 0, 2: 5, 3: 0, 4: 0}",1
82,False,"{'a': 0.5, 'e': 0.6822212072876135}",30,0,-148.53032843927411,"{0: 19, 1: 1, 2: 7, 3: 1, 4: 2}",0
83,False,"{'a': 0.5, 'e': 0.674875760071267}",25,17,-7.6510053112952745,"{0: 6, 1: 0, 2: 2, 3: 0, 4: 0}",1
84,False,"{'a': 0.5, 'e': 0.6674628258413081}",20,0,-90.48711641249884,"{0: 14, 1: 1, 2: 2, 3: 2, 4: 1}",0
