trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
30,False,"{'a': 0.5, 'e': 0.955336489125606}",30,0,-127.29755080402711,"{0: 17, 1: 3, 2: 9, 3: 0, 4: 1}",0
31,False,"{'a': 0.5, 'e': 0.9523335698857134}",25,0,-148.42559314028534,"{0: 14, 1: 3, 2: 5, 3: 1, 4: 2}",0
32,False,"{'a': 0.5, 'e': 0.9492354180824408}",20,0,-26.465050614997935,"{0: 17, 1: 0, 2: 1, 3: 2, 4: 0}",0
33,False,"{'a': 0.5, 'e': 0.946042343528387}",25,0,-101.4487921142234,"{0: 18, 1: 1, 2: 4, 3: 0, 4: 2}",0
34,False,"{'a': 0.5, 'e': 0.9427546655283462}",30,0,-193.21919638116498,"{0: 17, 1: 4, 2: 5, 3: 1, 4: 3}",0
35,False,"{'a': 0.5, 'e': 0.9393727128473789}",30,0,-118.97216990403231,"{0: 17, 1: 3, 2: 8, 3: 2, 4: 0}",0
36,False,"{'a': 0.5, 'e': 0.9358968236779348}",25,0,-185.866988420835,"{0: 13, 1: 1, 2: 7, 3: 2, 4: 2}",0
37,False,"{'a': 0.5, 'e': 0.9323273456060345}",20,0,-181.9631787392593,"{0: 11, 1: 2, 2: 2, 3: 2, 4: 3}",0
38,False,"{'a': 0.5, 'e': 0.9286646355765102}",20,0,-92.40173221980126,"{0: 13, 1: 2, 2: 2, 3: 2, 4: 1}",0
39,False,"{'a': 0.5, 'e': 0.9249090598573131}",25,0,-136.64784346916923,"{0: 16, 1: 1, 2: 5, 3: 1, 4: 2}",1
40,False,"{'a': 0.5, 'e': 0.9210609940028851}",25,0,-64.13166307954789,"{0: 16, 1: 6, 2: 1, 3: 2, 4: 0}",0
41,False,"{'a': 0.5, 'e': 0.9171208228166051}",25,0,-55.593309028283024,"{0: 17, 1: 3, 2: 4, 3: 1, 4: 0}",0
42,False,"{'a': 0.5, 'e': 0.9130889403123083}",20,0,-152.9476662102548,"{0: 9, 1: 3, 2: 5, 3: 1, 4: 2}",0
43,False,"{'a': 0.5, 'e': 0.9089657496748851}",25,0,-115.71234771941903,"{0: 17, 1: 0, 2: 5, 3: 2, 4: 1}",0
44,False,"{'a': 0.5, 'e': 0.9047516632199634}",20,0,-33.76986812689028,"{0: 15, 1: 1, 2: 3, 3: 1, 4: 0}",0
